step,epoch,loss,eval_loss,learning_rate,grad_norm,eval_mse,eval_mae,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
10,0.004,6.763301849365234,,1.9984e-05,38.82538604736328,,,,,,,,,,
20,0.008,2.3784717559814452,,1.9960000000000002e-05,34.644832611083984,,,,,,,,,,
30,0.012,2.0460418701171874,,1.9933333333333334e-05,41.630313873291016,,,,,,,,,,
40,0.016,1.9822002410888673,,1.9906666666666667e-05,14.04288101196289,,,,,,,,,,
50,0.02,1.6677705764770507,,1.9880000000000003e-05,71.56217956542969,,,,,,,,,,
60,0.024,1.6252361297607423,,1.9853333333333335e-05,31.526033401489258,,,,,,,,,,
70,0.028,1.8048093795776368,,1.9826666666666668e-05,19.951751708984375,,,,,,,,,,
80,0.032,1.437433624267578,,1.98e-05,15.829893112182617,,,,,,,,,,
90,0.036,1.3114880561828612,,1.9773333333333336e-05,31.893285751342773,,,,,,,,,,
100,0.04,1.0615379333496093,,1.974666666666667e-05,39.79671096801758,,,,,,,,,,
100,0.04,,1.2846553325653076,,,1.2846553325653076,0.7576610445976257,26.3006,380.22,23.764,,,,,
110,0.044,1.2533817291259766,,1.972e-05,18.148836135864258,,,,,,,,,,
120,0.048,1.007873821258545,,1.9693333333333337e-05,142.1968231201172,,,,,,,,,,
130,0.052,1.2795680046081543,,1.9666666666666666e-05,39.37385177612305,,,,,,,,,,
140,0.056,1.4123062133789062,,1.9640000000000002e-05,29.216995239257812,,,,,,,,,,
150,0.06,1.3752144813537597,,1.9613333333333334e-05,36.656002044677734,,,,,,,,,,
160,0.064,0.8094695091247559,,1.9586666666666667e-05,13.951308250427246,,,,,,,,,,
170,0.068,1.0915822029113769,,1.9560000000000002e-05,57.30382537841797,,,,,,,,,,
180,0.072,0.7626711368560791,,1.9533333333333335e-05,14.593266487121582,,,,,,,,,,
190,0.076,1.2535387039184571,,1.950666666666667e-05,38.65953063964844,,,,,,,,,,
200,0.08,1.0986016273498536,,1.948e-05,16.774478912353516,,,,,,,,,,
200,0.08,,0.8846059441566467,,,0.8846059441566467,0.6228322982788086,26.3532,379.46,23.716,,,,,
210,0.084,0.9798636436462402,,1.9453333333333336e-05,49.45313262939453,,,,,,,,,,
220,0.088,0.9952320098876953,,1.9426666666666668e-05,48.27108383178711,,,,,,,,,,
230,0.092,0.8323936462402344,,1.94e-05,39.83009719848633,,,,,,,,,,
240,0.096,1.04915189743042,,1.9373333333333336e-05,33.47995376586914,,,,,,,,,,
250,0.1,0.9744394302368165,,1.934666666666667e-05,35.90568542480469,,,,,,,,,,
260,0.104,0.8174978256225586,,1.932e-05,26.09307098388672,,,,,,,,,,
270,0.108,1.0023353576660157,,1.9293333333333334e-05,43.17874526977539,,,,,,,,,,
280,0.112,0.9796923637390137,,1.926666666666667e-05,33.339134216308594,,,,,,,,,,
290,0.116,0.8053440093994141,,1.9240000000000002e-05,27.063629150390625,,,,,,,,,,
300,0.12,0.7767684936523438,,1.9213333333333335e-05,23.722074508666992,,,,,,,,,,
300,0.12,,0.7917045950889587,,,0.791704535484314,0.48774170875549316,26.3397,379.655,23.728,,,,,
310,0.124,1.1044529914855956,,1.918666666666667e-05,31.549522399902344,,,,,,,,,,
320,0.128,0.9701059341430665,,1.916e-05,21.099288940429688,,,,,,,,,,
330,0.132,0.7171191215515137,,1.9133333333333335e-05,22.704238891601562,,,,,,,,,,
340,0.136,1.0295304298400878,,1.9106666666666668e-05,43.26779556274414,,,,,,,,,,
350,0.14,0.5561527252197266,,1.908e-05,10.418828010559082,,,,,,,,,,
360,0.144,1.0085860252380372,,1.9053333333333336e-05,37.700233459472656,,,,,,,,,,
370,0.148,1.0248735427856446,,1.9029333333333334e-05,41.924659729003906,,,,,,,,,,
380,0.152,0.809244441986084,,1.900266666666667e-05,24.645263671875,,,,,,,,,,
390,0.156,0.6899289608001709,,1.8976000000000003e-05,16.594955444335938,,,,,,,,,,
400,0.16,0.863909912109375,,1.8949333333333335e-05,51.45037078857422,,,,,,,,,,
400,0.16,,0.9498976469039917,,,0.9498976469039917,0.6913619041442871,26.089,383.304,23.956,,,,,
410,0.164,0.9156268119812012,,1.8922666666666668e-05,24.01790428161621,,,,,,,,,,
420,0.168,0.6443036079406739,,1.8896e-05,14.266472816467285,,,,,,,,,,
430,0.172,0.9397854804992676,,1.8869333333333336e-05,39.91455841064453,,,,,,,,,,
440,0.176,1.0332717895507812,,1.884266666666667e-05,41.80373001098633,,,,,,,,,,
450,0.18,0.7893007278442383,,1.8816e-05,30.323225021362305,,,,,,,,,,
460,0.184,0.6206933498382569,,1.8789333333333337e-05,38.006954193115234,,,,,,,,,,
470,0.188,0.9539583206176758,,1.876266666666667e-05,34.98922348022461,,,,,,,,,,
480,0.192,0.8000875473022461,,1.8736e-05,18.524213790893555,,,,,,,,,,
490,0.196,0.8966856956481933,,1.8709333333333334e-05,25.090368270874023,,,,,,,,,,
500,0.2,0.8300699234008789,,1.868266666666667e-05,23.793928146362305,,,,,,,,,,
500,0.2,,0.7986462116241455,,,0.7986462116241455,0.46914100646972656,26.1127,382.956,23.935,,,,,
510,0.204,0.7828384876251221,,1.8656000000000002e-05,22.31093406677246,,,,,,,,,,
520,0.208,0.5754996776580811,,1.8632e-05,29.7552490234375,,,,,,,,,,
530,0.212,1.0667409896850586,,1.8605333333333336e-05,51.08892822265625,,,,,,,,,,
540,0.216,0.8098669052124023,,1.857866666666667e-05,36.21282196044922,,,,,,,,,,
550,0.22,0.7243324756622315,,1.8552e-05,32.747440338134766,,,,,,,,,,
560,0.224,0.8343592643737793,,1.8525333333333334e-05,21.12519073486328,,,,,,,,,,
570,0.228,0.755807638168335,,1.849866666666667e-05,12.793909072875977,,,,,,,,,,
580,0.232,0.9166097640991211,,1.8472000000000002e-05,38.887733459472656,,,,,,,,,,
590,0.236,0.5282168388366699,,1.8445333333333334e-05,36.24954605102539,,,,,,,,,,
